NGÀY PICK,TÊN THÙNG,TÊN KHÁCH HÀNG,TÊN HÃNG,S? TRACKING,S? ORDER,S? S?N PH?M,GHI CHÚ 1,GHI CHÚ 2
4/21/2022,AH17,GLC TMPLAN,EBAY,05094245DB3,,SEAL,,
4/21/2022,AH17,GLC TMPLAN,.,KB887723134GB,,SEAL,,
4/21/2022,AH17,GLC TMPLAN,.,C00HHA0197700146,,2,,
4/21/2022,AH17,GLC TMPLAN,.,T00MTA0048878459,,SEAL,,
4/21/2022,AH18,GLC TMPLAN,EBAY,050944E14EA,,SEAL,,
4/21/2022,AH18,GLC TMPLAN,.,02126CC001A385D3,,SEAL,,
4/21/2022,AH18,GLC TMPLAN,.,PBCC9311504001,,SEAL,,
4/21/2022,AH18,GLC TMPLAN,.,WD280479380GB,,SEAL,,
4/21/2022,AH15,GLC TMTHHUYEN,.,9442264,,SEAL,,
4/21/2022,AH15,GLC TMTHHUYEN,.,0000316B1,,SEAL,,
4/21/2022,AH16,GLC TMTHHUYEN,.,06FE020770E5,,SEAL,,
4/21/2022,AH5,GLC TRUONGHONGNHUNG,GEORGE,T00IKA0024392574,,SEAL,,
4/21/2022,AH5,GLC TRUONGHONGNHUNG,GEORGE,T00IKA0024598479,,SEAL,,
4/21/2022,AH5,GLC TRUONGHONGNHUNG,GEORGE,T00IKA0024578465,,SEAL,,
4/21/2022,AH6,GLC TRUONGHONGNHUNG,GEORGE,T00IKA0024422389,,SEAL,,
4/21/2022,AH6,GLC TRUONGHONGNHUNG,GEORGE,T00IKA0024491043,,SEAL,,
4/21/2022,AH6,GLC TRUONGHONGNHUNG,GEORGE,T00IKA0024367381,,SEAL,,
4/21/2022,AH6,GLC TRUONGHONGNHUNG,GEORGE,JJD0002247287292260,,SEAL,,
4/21/2022,AH9,GLC TRUONGHONGNHUNG,GEORGE,T00IKA0024712221,,SEAL,,
4/21/2022,AH15,GLC TRUONGHONGNHUNG,GEORGE,WU431606666GB,,SEAL,,
4/21/2022,AH5,GLC VUHAIYEN,AMAZON,QB0185619409,,SEAL,,
4/21/2022,AH5,GLC VUHAIYEN,AMAZON,QB0185359177,,SEAL,,
4/21/2022,AH9,GLC VUHAIYEN,AMAZON,QB0185987404,,SEAL,,
4/21/2022,AH9,GLC VUHAIYEN,AMAZON,QB0185856768,,SEAL,,
4/21/2022,AH9,GLC VUHAIYEN,AMAZON,QB0185897189,,SEAL,,
4/21/2022,AH5,GLC XUANBACH,.,11078D717C8,,SEAL,,
4/21/2022,AH9,GLC XUANBACH,.,981A05B51488,,SEAL,,
4/21/2022,AH16,GLC XUANBACH,.,0A64011AE161,,SEAL,,
4/21/2022,AH6,GLC YENLYNK,ASOS,T00B8A0092135539,,SEAL,,
4/21/2022,AH6,GLC YENLYNK,FRAGRANCE,WY884024005GB,,SEAL,,
4/21/2022,AH6,GLC YENLYNK,FRAGRANCE,WY884024028GB,,SEAL,,
4/21/2022,AH16,GLC YENLYNK,CLARKS,H009JA0005799920,,SEAL,,
4/21/2022,AH16,GLC YENLYNK ,DOROTHY,FE103328795GB,,SEAL,,
4/21/2022,AH9,GLC YENTMPHUONG,.,BN532988496GB,,SEAL,,
4/21/2022,LX3,HAHOANG,VITABIOTICS,15504166395150,,SEAL,,
4/21/2022,LX8,HAHOANG,BOOTS,WY681286642GB,,SEAL,,
4/21/2022,AH14,HANHNGUYEN,ADIDAS,PBZK2358039001,,2,,
4/21/2022,LX3,HARRYSHANE,.,1ZV827Y16803074976,,SEAL,,
4/21/2022,AH14,HATHUY,COAST,MD628390354GB,,SEAL,,
4/21/2022,LX6,HOADIEP,.,EH419707882GB,,1,,
4/21/2022,AH14,HONHOAMAI,.,FE062137423GB,,SEAL,,
4/21/2022,LX4,HONGLANNHU,.,JC344898829GB,,SEAL,,
4/21/2022,AH11,HUYENDUONG,ADIDAS,15505169146575,,4,,
4/21/2022,AH11,HUYENDUONG,ADIDAS,15505169145676,,4,,
4/21/2022,AH11,HUYENDUONG,ADIDAS,15505169146502,,1,,
4/21/2022,AH14,HUYENDUONG,FRAGRANCE,WY884036304GB,,3,NC HOA,
4/21/2022,AH14,HUYENDUONG,ADIDAS,PBZK2344318001,,1,,
4/21/2022,AH15,HUYENDUONG,SPORT,T0047A0098062995,,SEAL,,
4/21/2022,AH1,HUYENMAIKA,BOOTS,WL516201715GB,,24,,
4/21/2022,AH1,HUYENMAIKA,.,T00PWA0032378107,,6,,
4/21/2022,AH2,HUYENMAIKA,BOOTS,WL493117274GB,,8,2 DON TRONG 1 HOP ,
4/21/2022,AH2,HUYENMAIKA,BOOTS,WL522219595GB,,20,2 DON TRONG 1 HOP ,
4/21/2022,AH1,HUYENQUANG,GAP,JJD0002247144482948,,SEAL,,
